Order,City,Longitude
1,Santa Monica,-118.4912
2,Los Angeles,-118.2437
3,San Gabriel,-118.1088
4,Glendora,-117.8653
5,Rancho Cucamonga,-117.5859
6,Fontana,-117.4359
7,Cajon,-117.4
8,Hesperia,-117.3006
9,Apple Valley,-117.1859
10,Lucerne Valley,-116.9667
11,Yucca Valley,-116.4167
12,Twentynine Palms,-116.0547
13,Bullhead City,-114.5686
14,Golden Valley,-114.1236
15,New Kingman-Butler,-114.0167
16,Sedona,-111.761
17,Flagstaff,-111.6513
18,Winslow,-110.6973
19,Holbrook,-110.1623
20,Sun Valley,-110.0
21,Gallup,-108.7426
22,Albuquerque,-106.6504
23,Madrid,-106.1536
24,Sombrillo,-106.0
25,Tesuque,-105.9208
26,Valle Escondido,-105.5
27,Eagle Nest,-105.4667
28,Rayado,-105.0
29,Springer,-104.5
30,Stillwater,-104.0
31,Abbott,-100.0
32,Abington,-100.0
33,Camp,-100.0
34,Deckard-Y,-100.0
35,East Malone Avenue,-100.0
36,Gatewood,-100.0
37,Harmon,-100.0
38,Henderson,-100.0
39,Hennessey,-100.0
40,Hibbard,-100.0
41,La Junta,-100.0
42,Lincoln,-100.0
43,Mohave Valley,-100.0
44,Mount Olive,-100.0
45,Somerset,-100.0
46,Thayer,-100.0
47,Viola,-100.0
48,West Florence,-100.0
49,Tulsa,-95.9928
50,Fayetteville,-94.1574
51,Mountain Home,-92.3853
52,Fairdealing,-90.0
53,Vincennes,-87.5286
54,Bicknell,-87.3078
55,Grayville,-87.0
56,Keensburg,-87.0
57,Dayton,-84.1916
58,Beavercreek,-84.0633
59,Cedarville,-83.8083
60,New Lexington,-82.2081
61,Zanesville,-82.0132
62,Wheeling,-80.7209
63,North Franklin Township,-80.0
64,Nottingham Township,-80.0
65,Donegal Township,-79.0
66,Dublin Township,-79.0
67,East Huntingdon Township,-79.0
68,Elizabeth Township,-79.0
69,Mount Pleasant Township,-79.0
70,Brush Creek Township,-78.0
71,Napier Township,-78.0
72,Stonycreek Township,-78.0
73,Lurgan Township,-77.0
74,Metal Township,-77.0
75,West Pennsboro Township,-77.0
76,Bethel Township,-76.0
77,East Hanover Township,-76.0
78,Monroe Township,-76.0
79,Susquehanna Township,-76.0
80,Upper Bern Township,-76.0
81,Allentown,-75.4638
82,Bethlehem,-75.3705
83,Greenwich Township,-75.0
84,Jefferson Township,-75.0
85,Hackensack,-74.0431
86,Fairfield,-74.0
87,Rockaway Township,-74.0
